parent;verbatim;type;edited;source
Euphrasia confusa;Euphrasia confusa x tetraquetra NULL;formula;Euphrasia confusa × tetraquetra;gbif checklists
Euphrasia tetraquetra;Euphrasia confusa x tetraquetra NULL;formula;Euphrasia confusa × tetraquetra;gbif checklists
Sparganium gramineum;Sparganium gramineum x emersum NULL;formula;Sparganium gramineum × emersum;gbif checklists
Sparganium emersum;Sparganium gramineum x emersum NULL;formula;Sparganium gramineum × emersum;gbif checklists
Euphrasia arctica;Euphrasia arctica x stricta NULL;formula;Euphrasia arctica × stricta;gbif checklists
Euphrasia stricta;Euphrasia arctica x stricta NULL;formula;Euphrasia arctica × stricta;gbif checklists
Sparganium gramineum;Sparganium gramineum x angustifolium NULL;formula;Sparganium gramineum × angustifolium;gbif checklists
Sparganium angustifolium;Sparganium gramineum x angustifolium NULL;formula;Sparganium gramineum × angustifolium;gbif checklists
Euphrasia micrantha;Euphrasia micrantha x tetraquetra NULL;formula;Euphrasia micrantha × tetraquetra;gbif checklists
Euphrasia tetraquetra;Euphrasia micrantha x tetraquetra NULL;formula;Euphrasia micrantha × tetraquetra;gbif checklists
Armeria filicaulis;Armeria filicaulis x splendens ssp. splendens NULL;formula;Armeria filicaulis × splendens subsp. splendens;gbif checklists
Armeria splendens subsp. splendens;Armeria filicaulis x splendens ssp. splendens NULL;formula;Armeria filicaulis × splendens subsp. splendens;gbif checklists
Armeria maritima;Armeria maritima x pubigera NULL;formula;Armeria maritima × pubigera;gbif checklists
Armeria pubigera;Armeria maritima x pubigera NULL;formula;Armeria maritima × pubigera;gbif checklists
Armeria pungens;Armeria pungens x rouyana NULL;formula;Armeria pungens × rouyana;gbif checklists
Armeria rouyana;Armeria pungens x rouyana NULL;formula;Armeria pungens × rouyana;gbif checklists
Euphrasia confusa;Euphrasia confusa x micrantha NULL;formula;Euphrasia confusa × micrantha;gbif checklists
Euphrasia micrantha;Euphrasia confusa x micrantha NULL;formula;Euphrasia confusa × micrantha;gbif checklists
Euphrasia arctica;Euphrasia arctica x confusa NULL;formula;Euphrasia arctica × confusa;gbif checklists
Euphrasia confusa;Euphrasia arctica x confusa NULL;formula;Euphrasia arctica × confusa;gbif checklists
Euphrasia dunensis;Euphrasia dunensis x stricta NULL;formula;Euphrasia dunensis × stricta;gbif checklists
Euphrasia stricta;Euphrasia dunensis x stricta NULL;formula;Euphrasia dunensis × stricta;gbif checklists
Euphrasia confusa;Euphrasia confusa x scottica NULL;formula;Euphrasia confusa × scottica;gbif checklists
Euphrasia scottica;Euphrasia confusa x scottica NULL;formula;Euphrasia confusa × scottica;gbif checklists
Veronica anagallis-aquatica;Veronica anagallis-aquatica x catenata NULL;formula;Veronica anagallis-aquatica × catenata;gbif checklists
Veronica anagallis-aquatica;Veronica anagallis-aquatica x catenata;formula;Veronica anagallis-aquatica × catenata;gbif checklists
Veronica anagallis-aquatica;Veronica anagallis-aquatica × catenata;formula;Veronica anagallis-aquatica × catenata;gbif checklists
Veronica catenata;Veronica anagallis-aquatica x catenata NULL;formula;Veronica anagallis-aquatica × catenata;gbif checklists
Veronica catenata;Veronica anagallis-aquatica x catenata;formula;Veronica anagallis-aquatica × catenata;gbif checklists
Veronica catenata;Veronica anagallis-aquatica × catenata;formula;Veronica anagallis-aquatica × catenata;gbif checklists
Euphrasia confusa;Euphrasia confusa x nemorosa NULL;formula;Euphrasia confusa × nemorosa;gbif checklists
Euphrasia nemorosa;Euphrasia confusa x nemorosa NULL;formula;Euphrasia confusa × nemorosa;gbif checklists
Euphrasia nemorosa;Euphrasia nemorosa x stricta NULL;formula;Euphrasia nemorosa × stricta;gbif checklists
Euphrasia nemorosa;Euphrasia nemorosa × stricta;formula;Euphrasia nemorosa × stricta;gbif checklists
Euphrasia nemorosa;Euphrasia nemorosa x stricta;formula;Euphrasia nemorosa × stricta;gbif checklists
Euphrasia stricta;Euphrasia nemorosa x stricta NULL;formula;Euphrasia nemorosa × stricta;gbif checklists
Euphrasia stricta;Euphrasia nemorosa × stricta;formula;Euphrasia nemorosa × stricta;gbif checklists
Euphrasia stricta;Euphrasia nemorosa x stricta;formula;Euphrasia nemorosa × stricta;gbif checklists
Centaurium erythraea subsp. erythraea;Centaurium erythraea ssp. erythraea x tenuiflorum NULL;formula;Centaurium erythraea subsp. erythraea × tenuiflorum;gbif checklists
Centaurium tenuiflorum;Centaurium erythraea ssp. erythraea x tenuiflorum NULL;formula;Centaurium erythraea subsp. erythraea × tenuiflorum;gbif checklists
Centaurium erythraea subsp. erythraea;Centaurium erythraea ssp. erythraea x pulchellum NULL;formula;Centaurium erythraea subsp. erythraea × pulchellum;gbif checklists
Centaurium pulchellum;Centaurium erythraea ssp. erythraea x pulchellum NULL;formula;Centaurium erythraea subsp. erythraea × pulchellum;gbif checklists
Galium cespitosum;Galium cespitosum x pyrenaicum NULL;formula;Galium cespitosum × pyrenaicum;gbif checklists
Galium pyrenaicum;Galium cespitosum x pyrenaicum NULL;formula;Galium cespitosum × pyrenaicum;gbif checklists
Centaurium erythraea subsp. erythraea;Centaurium erythraea ssp. erythraea x littorale NULL;formula;Centaurium erythraea subsp. erythraea × littorale;gbif checklists
Centaurium littorale;Centaurium erythraea ssp. erythraea x littorale NULL;formula;Centaurium erythraea subsp. erythraea × littorale;gbif checklists
Galium asturiocantabricum;Galium asturiocantabricum x marchandii NULL;formula;Galium asturiocantabricum × marchandii;gbif checklists
Galium marchandii;Galium asturiocantabricum x marchandii NULL;formula;Galium asturiocantabricum × marchandii;gbif checklists
Galium maritimum;Galium maritimum x verum NULL;formula;Galium maritimum × verum;gbif checklists
Galium verum;Galium maritimum x verum NULL;formula;Galium maritimum × verum;gbif checklists
Galium album;Galium album x polonicum NULL;formula;Galium album × polonicum;gbif checklists
Galium polonicum;Galium album x polonicum NULL;formula;Galium album × polonicum;gbif checklists
Galium abaujense;Galium abaujense x album NULL;formula;Galium abaujense × album;gbif checklists
Galium album;Galium abaujense x album NULL;formula;Galium abaujense × album;gbif checklists
Viola collina;Viola collina x odorata NULL;formula;Viola collina × odorata;gbif checklists
Viola collina;Viola collina × odorata;formula;Viola collina × odorata;gbif checklists
Viola collina;Viola collina x odorata;formula;Viola collina × odorata;gbif checklists
Viola odorata;Viola collina x odorata NULL;formula;Viola collina × odorata;gbif checklists
Viola odorata;Viola collina × odorata;formula;Viola collina × odorata;gbif checklists
Viola odorata;Viola collina x odorata;formula;Viola collina × odorata;gbif checklists
Viola alba;Viola alba x hirta NULL;formula;Viola alba × hirta;gbif checklists
Viola alba;Viola alba × hirta;formula;Viola alba × hirta;gbif checklists
Viola alba;Viola alba x hirta;formula;Viola alba × hirta;gbif checklists
Viola hirta;Viola alba x hirta NULL;formula;Viola alba × hirta;gbif checklists
Viola hirta;Viola alba × hirta;formula;Viola alba × hirta;gbif checklists
Viola hirta;Viola alba x hirta;formula;Viola alba × hirta;gbif checklists
Viola collina;Viola collina x hirta NULL;formula;Viola collina × hirta;gbif checklists
Viola collina;Viola collina x hirta;formula;Viola collina × hirta;gbif checklists
Viola collina;Viola collina × hirta;formula;Viola collina × hirta;gbif checklists
Viola hirta;Viola collina x hirta NULL;formula;Viola collina × hirta;gbif checklists
Viola hirta;Viola collina x hirta;formula;Viola collina × hirta;gbif checklists
Viola hirta;Viola collina × hirta;formula;Viola collina × hirta;gbif checklists
Viola alba;Viola alba x odorata NULL;formula;Viola alba × odorata;gbif checklists
Viola alba;Viola alba × odorata;formula;Viola alba × odorata;gbif checklists
Viola alba;Viola alba x odorata;formula;Viola alba × odorata;gbif checklists
Viola odorata;Viola alba x odorata NULL;formula;Viola alba × odorata;gbif checklists
Viola odorata;Viola alba × odorata;formula;Viola alba × odorata;gbif checklists
Viola odorata;Viola alba x odorata;formula;Viola alba × odorata;gbif checklists
Danthonia decumbens;Danthonia decumbens x alpina NULL;formula;Danthonia decumbens × alpina;gbif checklists
Danthonia alpina;Danthonia decumbens x alpina NULL;formula;Danthonia decumbens × alpina;gbif checklists
Crepis alpestris;Crepis alpestris x conyzifolia NULL;formula;Crepis alpestris × conyzifolia;gbif checklists
Crepis alpestris;Crepis alpestris x conyzifolia;formula;Crepis alpestris × conyzifolia;gbif checklists
Crepis conyzifolia;Crepis alpestris x conyzifolia NULL;formula;Crepis alpestris × conyzifolia;gbif checklists
Crepis conyzifolia;Crepis alpestris x conyzifolia;formula;Crepis alpestris × conyzifolia;gbif checklists
Crepis alpestris;Crepis alpestris x pyrenaica NULL;formula;Crepis alpestris × pyrenaica;gbif checklists
Crepis alpestris;Crepis alpestris x pyrenaica;formula;Crepis alpestris × pyrenaica;gbif checklists
Crepis pyrenaica;Crepis alpestris x pyrenaica NULL;formula;Crepis alpestris × pyrenaica;gbif checklists
Crepis pyrenaica;Crepis alpestris x pyrenaica;formula;Crepis alpestris × pyrenaica;gbif checklists
Carduus argemone subsp. argemone;Carduus argemone ssp. argemone x carlinifolius NULL;formula;Carduus argemone subsp. argemone × carlinifolius;gbif checklists
Carduus carlinifolius;Carduus argemone ssp. argemone x carlinifolius NULL;formula;Carduus argemone subsp. argemone × carlinifolius;gbif checklists
Achillea macrophylla;Achillea macrophylla x ptarmica NULL;formula;Achillea macrophylla × ptarmica;gbif checklists
Achillea ptarmica;Achillea macrophylla x ptarmica NULL;formula;Achillea macrophylla × ptarmica;gbif checklists
Achillea impatiens;Achillea impatiens x ptarmica NULL;formula;Achillea impatiens × ptarmica;gbif checklists
Achillea impatiens;Achillea impatiens x ptarmica;formula;Achillea impatiens × ptarmica;gbif checklists
Achillea impatiens;Achillea impatiens × ptarmica;formula;Achillea impatiens × ptarmica;gbif checklists
Achillea ptarmica;Achillea impatiens x ptarmica NULL;formula;Achillea impatiens × ptarmica;gbif checklists
Achillea ptarmica;Achillea impatiens x ptarmica;formula;Achillea impatiens × ptarmica;gbif checklists
Achillea ptarmica;Achillea impatiens × ptarmica;formula;Achillea impatiens × ptarmica;gbif checklists
Aster dumosus;Aster dumosus x novi-belgii NULL;formula;Aster dumosus × novi-belgii;gbif checklists
Aster novi-belgii;Aster dumosus x novi-belgii NULL;formula;Aster dumosus × novi-belgii;gbif checklists
Dactylorhiza majalis subsp. praetermissa;Dactylorhiza majalis ssp. praetermissa x fuchsii NULL;formula;Dactylorhiza majalis subsp. praetermissa × fuchsii;gbif checklists
Dactylorhiza fuchsii;Dactylorhiza majalis ssp. praetermissa x fuchsii NULL;formula;Dactylorhiza majalis subsp. praetermissa × fuchsii;gbif checklists
Coeloglossum viride;Coeloglossum x Dactylorhiza Coeloglossum viride x Dactylorhiza majalis ssp. purpurella NULL;formula;Coeloglossum viride × Dactylorhiza majalis subsp. purpurella;gbif checklists
Dactylorhiza majalis subsp. purpurella;Coeloglossum x Dactylorhiza Coeloglossum viride x Dactylorhiza majalis ssp. purpurella NULL;formula;Coeloglossum viride × Dactylorhiza majalis subsp. purpurella;gbif checklists
Dactylorhiza majalis subsp. purpurella;Dactylorhiza x Gymnadenia Dactylorhiza majalis ssp. purpurella x Gymnadenia conopsea NULL;formula;Dactylorhiza majalis subsp. purpurella × Gymnadenia conopsea;gbif checklists
Gymnadenia conopsea;Dactylorhiza x Gymnadenia Dactylorhiza majalis ssp. purpurella x Gymnadenia conopsea NULL;formula;Dactylorhiza majalis subsp. purpurella × Gymnadenia conopsea;gbif checklists
Coeloglossum viride;Coeloglossum x Dactylorhiza Coeloglossum viride x Dactylorhiza majalis ssp. praetermissa NULL;formula;Coeloglossum viride × Dactylorhiza majalis subsp. praetermissa;gbif checklists
Dactylorhiza majalis subsp. praetermissa;Coeloglossum x Dactylorhiza Coeloglossum viride x Dactylorhiza majalis ssp. praetermissa NULL;formula;Coeloglossum viride × Dactylorhiza majalis subsp. praetermissa;gbif checklists
Agrostis capillaris;Agrostis capillaris x gigantea NULL;formula;Agrostis capillaris × gigantea;gbif checklists
Agrostis capillaris;Agrostis capillaris × gigantea;formula;Agrostis capillaris × gigantea;gbif checklists
Agrostis capillaris;Agrostis capillaris x gigantea;formula;Agrostis capillaris × gigantea;gbif checklists
Agrostis gigantea;Agrostis capillaris x gigantea NULL;formula;Agrostis capillaris × gigantea;gbif checklists
Agrostis gigantea;Agrostis capillaris × gigantea;formula;Agrostis capillaris × gigantea;gbif checklists
Agrostis gigantea;Agrostis capillaris x gigantea;formula;Agrostis capillaris × gigantea;gbif checklists
Agrostis capillaris;Agrostis capillaris x stolonifera NULL;formula;Agrostis capillaris × stolonifera;gbif checklists
Agrostis capillaris;Agrostis capillaris × stolonifera;formula;Agrostis capillaris × stolonifera;gbif checklists
Agrostis capillaris;Agrostis capillaris x stolonifera;formula;Agrostis capillaris × stolonifera;gbif checklists
Agrostis stolonifera;Agrostis capillaris x stolonifera NULL;formula;Agrostis capillaris × stolonifera;gbif checklists
Agrostis stolonifera;Agrostis capillaris × stolonifera;formula;Agrostis capillaris × stolonifera;gbif checklists
Agrostis stolonifera;Agrostis capillaris x stolonifera;formula;Agrostis capillaris × stolonifera;gbif checklists
Ammocalamagrostis arenaria;x Ammocalamagrostis arenaria x arundinacea NULL;formula;Ammocalamagrostis arenaria × arundinacea;gbif checklists
Ammocalamagrostis arundinacea;x Ammocalamagrostis arenaria x arundinacea NULL;formula;Ammocalamagrostis arenaria × arundinacea;gbif checklists
Elymus repens;NA;formula;Elymus repens × Leymus arenarius;gbif checklists
Leymus arenarius;NA;formula;Elymus repens × Leymus arenarius;gbif checklists
Koeleria vallesiana subsp. vallesiana;Koeleria vallesiana ssp. vallesiana x macrantha NULL;formula;Koeleria vallesiana subsp. vallesiana × macrantha;gbif checklists
Koeleria macrantha;Koeleria vallesiana ssp. vallesiana x macrantha NULL;formula;Koeleria vallesiana subsp. vallesiana × macrantha;gbif checklists
Dactylorhiza traunsteineri;Dactylorhiza traunsteineri x fuchsii NULL;formula;Dactylorhiza traunsteineri × fuchsii;gbif checklists
Dactylorhiza fuchsii;Dactylorhiza traunsteineri x fuchsii NULL;formula;Dactylorhiza traunsteineri × fuchsii;gbif checklists
Dactylorhiza traunsteineri;Dactylorhiza traunsteineri x majalis ssp. praetermissa NULL;formula;Dactylorhiza traunsteineri × majalis subsp. praetermissa;gbif checklists
Dactylorhiza majalis subsp. praetermissa;Dactylorhiza traunsteineri x majalis ssp. praetermissa NULL;formula;Dactylorhiza traunsteineri × majalis subsp. praetermissa;gbif checklists
Dactylorhiza traunsteineri;Dactylorhiza traunsteineri x incarnata NULL;formula;Dactylorhiza traunsteineri × incarnata;gbif checklists
Dactylorhiza incarnata;Dactylorhiza traunsteineri x incarnata NULL;formula;Dactylorhiza traunsteineri × incarnata;gbif checklists
Dactylorhiza fuchsii;Dactylorhiza fuchsii x maculata ssp. elodes NULL;formula;Dactylorhiza fuchsii × maculata subsp. elodes;gbif checklists
Dactylorhiza maculata subsp. elodes;Dactylorhiza fuchsii x maculata ssp. elodes NULL;formula;Dactylorhiza fuchsii × maculata subsp. elodes;gbif checklists
Dactylorhiza subsp. majalis subsp. praetermissa;Dactylorhiza ssp. majalis ssp. praetermissa x maculata ssp. elodes NULL;formula;Dactylorhiza subsp. majalis subsp. praetermissa × maculata subsp. elodes;gbif checklists
Dactylorhiza maculata subsp. elodes;Dactylorhiza ssp. majalis ssp. praetermissa x maculata ssp. elodes NULL;formula;Dactylorhiza subsp. majalis subsp. praetermissa × maculata subsp. elodes;gbif checklists
Dactylorhiza majalis subsp. purpurella;Dactylorhiza majalis ssp. purpurella x fuchsii NULL;formula;Dactylorhiza majalis subsp. purpurella × fuchsii;gbif checklists
Dactylorhiza fuchsii;Dactylorhiza majalis ssp. purpurella x fuchsii NULL;formula;Dactylorhiza majalis subsp. purpurella × fuchsii;gbif checklists
Dactylorhiza majalis subsp. purpurella;Dactylorhiza majalis ssp. purpurella x incarnata NULL;formula;Dactylorhiza majalis subsp. purpurella × incarnata;gbif checklists
Dactylorhiza incarnata;Dactylorhiza majalis ssp. purpurella x incarnata NULL;formula;Dactylorhiza majalis subsp. purpurella × incarnata;gbif checklists
Elymus farctus subsp. boreali-atlanticus;NA;formula;Elymus farctus subsp. boreali-atlanticus × Leymus arenarius;gbif checklists
Leymus arenarius;NA;formula;Elymus farctus subsp. boreali-atlanticus × Leymus arenarius;gbif checklists
Elymus farctus subsp. farctus;Elymus farctus ssp. farctus x repens NULL;formula;Elymus farctus subsp. farctus × repens;gbif checklists
Elymus repens;Elymus farctus ssp. farctus x repens NULL;formula;Elymus farctus subsp. farctus × repens;gbif checklists
Elymus farctus subsp. farctus;Elymus farctus ssp. farctus x pycnanthus NULL;formula;Elymus farctus subsp. farctus × pycnanthus;gbif checklists
Elymus pycnanthus;Elymus farctus ssp. farctus x pycnanthus NULL;formula;Elymus farctus subsp. farctus × pycnanthus;gbif checklists
Bolbitis angustipinna;Bolbitis angustipinna × sinensis;formula;Bolbitis angustipinna × sinensis;gbif checklists
Bolbitis sinensis;Bolbitis angustipinna × sinensis;formula;Bolbitis angustipinna × sinensis;gbif checklists
Quercus macrocarpa Michx.;Quercus macrocarpa Michx. x Quercus gambelii Nutt.;formula;Quercus macrocarpa Michx. × Quercus gambelii Nutt.;gbif checklists
Quercus gambelii Nutt.;Quercus macrocarpa Michx. x Quercus gambelii Nutt.;formula;Quercus macrocarpa Michx. × Quercus gambelii Nutt.;gbif checklists
Narcissus cyclamineus;Narcissus cyclamineus x tazetta;formula;Narcissus cyclamineus × tazetta;gbif checklists
Narcissus tazetta;Narcissus cyclamineus x tazetta;formula;Narcissus cyclamineus × tazetta;gbif checklists
Melica ciliata subsp. glauca;Melica ciliata subsp. glauca x transsilvanica;formula;Melica ciliata subsp. glauca × transsilvanica;gbif checklists
Melica transsilvanica;Melica ciliata subsp. glauca x transsilvanica;formula;Melica ciliata subsp. glauca × transsilvanica;gbif checklists
Potamogeton friesii;Potamogeton friesii x pusillus agg.;formula;Potamogeton friesii × pusillus agg.;gbif checklists
Potamogeton pusillus agg.;Potamogeton friesii x pusillus agg.;formula;Potamogeton friesii × pusillus agg.;gbif checklists
Senecio hercynicus subsp. hercynicus;Senecio hercynicus subsp. hercynicus x ovatus subsp. ovatus;formula;Senecio hercynicus subsp. hercynicus × ovatus subsp. ovatus;gbif checklists
Senecio ovatus subsp. ovatus;Senecio hercynicus subsp. hercynicus x ovatus subsp. ovatus;formula;Senecio hercynicus subsp. hercynicus × ovatus subsp. ovatus;gbif checklists
Leucanthemum halleri;Leucanthemum halleri x vulgare agg.;formula;Leucanthemum halleri × vulgare agg.;gbif checklists
Leucanthemum vulgare agg.;Leucanthemum halleri x vulgare agg.;formula;Leucanthemum halleri × vulgare agg.;gbif checklists
Thymus pulegioides subsp. pulegioides;Thymus pulegioides subsp. pulegioides x serpyllum subsp. serpyllum;formula;Thymus pulegioides subsp. pulegioides × serpyllum subsp. serpyllum;gbif checklists
Thymus serpyllum subsp. serpyllum;Thymus pulegioides subsp. pulegioides x serpyllum subsp. serpyllum;formula;Thymus pulegioides subsp. pulegioides × serpyllum subsp. serpyllum;gbif checklists
Pulmonaria mollis subsp. mollis;Pulmonaria mollis subsp. mollis x obscura;formula;Pulmonaria mollis subsp. mollis × obscura;gbif checklists
Pulmonaria obscura;Pulmonaria mollis subsp. mollis x obscura;formula;Pulmonaria mollis subsp. mollis × obscura;gbif checklists
Pulmonaria mollis subsp. alpigena;Pulmonaria mollis subsp. alpigena x officinalis;formula;Pulmonaria mollis subsp. alpigena × officinalis;gbif checklists
Pulmonaria officinalis;Pulmonaria mollis subsp. alpigena x officinalis;formula;Pulmonaria mollis subsp. alpigena × officinalis;gbif checklists
Ononis repens subsp. procurrens;Ononis repens subsp. procurrens x spinosa subsp. spinosa;formula;Ononis repens subsp. procurrens × spinosa subsp. spinosa;gbif checklists
Ononis spinosa subsp. spinosa;Ononis repens subsp. procurrens x spinosa subsp. spinosa;formula;Ononis repens subsp. procurrens × spinosa subsp. spinosa;gbif checklists
Sagittaria natans;Sagittaria natans × sagittifolia;formula;Sagittaria natans × sagittifolia;gbif checklists
Sagittaria natans;Sagittaria natans x sagittifolia;formula;Sagittaria natans × sagittifolia;gbif checklists
Sagittaria sagittifolia;Sagittaria natans × sagittifolia;formula;Sagittaria natans × sagittifolia;gbif checklists
Sagittaria sagittifolia;Sagittaria natans x sagittifolia;formula;Sagittaria natans × sagittifolia;gbif checklists
Potamogeton gramineus;Potamogeton gramineus × nodosus;formula;Potamogeton gramineus × nodosus;gbif checklists
Potamogeton gramineus;Potamogeton gramineus x nodosus;formula;Potamogeton gramineus × nodosus;gbif checklists
Potamogeton nodosus;Potamogeton gramineus × nodosus;formula;Potamogeton gramineus × nodosus;gbif checklists
Potamogeton nodosus;Potamogeton gramineus x nodosus;formula;Potamogeton gramineus × nodosus;gbif checklists
Potamogeton lucens;Potamogeton lucens × perfoliatus;formula;Potamogeton lucens × perfoliatus;gbif checklists
Potamogeton lucens;Potamogeton lucens x perfoliatus;formula;Potamogeton lucens × perfoliatus;gbif checklists
Potamogeton perfoliatus;Potamogeton lucens × perfoliatus;formula;Potamogeton lucens × perfoliatus;gbif checklists
Potamogeton perfoliatus;Potamogeton lucens x perfoliatus;formula;Potamogeton lucens × perfoliatus;gbif checklists
Potamogeton gramineus;Potamogeton gramineus × natans;formula;Potamogeton gramineus × natans;gbif checklists
Potamogeton gramineus;Potamogeton gramineus x natans;formula;Potamogeton gramineus × natans;gbif checklists
Potamogeton natans;Potamogeton gramineus × natans;formula;Potamogeton gramineus × natans;gbif checklists
Potamogeton natans;Potamogeton gramineus x natans;formula;Potamogeton gramineus × natans;gbif checklists
Potamogeton gramineus;Potamogeton gramineus × perfoliatus;formula;Potamogeton gramineus × perfoliatus;gbif checklists
Potamogeton gramineus;Potamogeton gramineus x perfoliatus;formula;Potamogeton gramineus × perfoliatus;gbif checklists
Potamogeton perfoliatus;Potamogeton gramineus × perfoliatus;formula;Potamogeton gramineus × perfoliatus;gbif checklists
Potamogeton perfoliatus;Potamogeton gramineus x perfoliatus;formula;Potamogeton gramineus × perfoliatus;gbif checklists
Potamogeton lucens;Potamogeton lucens × natans;formula;Potamogeton lucens × natans;gbif checklists
Potamogeton lucens;Potamogeton lucens x natans;formula;Potamogeton lucens × natans;gbif checklists
Potamogeton natans;Potamogeton lucens × natans;formula;Potamogeton lucens × natans;gbif checklists
Potamogeton natans;Potamogeton lucens x natans;formula;Potamogeton lucens × natans;gbif checklists
Potamogeton gramineus;Potamogeton gramineus × lucens;formula;Potamogeton gramineus × lucens;gbif checklists
Potamogeton gramineus;Potamogeton gramineus x lucens;formula;Potamogeton gramineus × lucens;gbif checklists
Potamogeton lucens;Potamogeton gramineus × lucens;formula;Potamogeton gramineus × lucens;gbif checklists
Potamogeton lucens;Potamogeton gramineus x lucens;formula;Potamogeton gramineus × lucens;gbif checklists
Polygonatum multiflorum;Polygonatum multiflorum × odoratum;formula;Polygonatum multiflorum × odoratum;gbif checklists
Polygonatum multiflorum;Polygonatum multiflorum x odoratum;formula;Polygonatum multiflorum × odoratum;gbif checklists
Polygonatum odoratum;Polygonatum multiflorum × odoratum;formula;Polygonatum multiflorum × odoratum;gbif checklists
Polygonatum odoratum;Polygonatum multiflorum x odoratum;formula;Polygonatum multiflorum × odoratum;gbif checklists
Stellaria fennica;Stellaria fennica × graminea;formula;Stellaria fennica × graminea;gbif checklists
Stellaria fennica;Stellaria fennica x graminea;formula;Stellaria fennica × graminea;gbif checklists
Stellaria graminea;Stellaria fennica × graminea;formula;Stellaria fennica × graminea;gbif checklists
Stellaria graminea;Stellaria fennica x graminea;formula;Stellaria fennica × graminea;gbif checklists
Stellaria borealis;Stellaria borealis × longifolia;formula;Stellaria borealis × longifolia;gbif checklists
Stellaria borealis;Stellaria borealis x longifolia;formula;Stellaria borealis × longifolia;gbif checklists
Stellaria longifolia;Stellaria borealis × longifolia;formula;Stellaria borealis × longifolia;gbif checklists
Stellaria longifolia;Stellaria borealis x longifolia;formula;Stellaria borealis × longifolia;gbif checklists
Equisetum arvense;Equisetum arvense × palustre;formula;Equisetum arvense × palustre;gbif checklists
Equisetum arvense;Equisetum arvense x palustre;formula;Equisetum arvense × palustre;gbif checklists
Equisetum palustre;Equisetum arvense × palustre;formula;Equisetum arvense × palustre;gbif checklists
Equisetum palustre;Equisetum arvense x palustre;formula;Equisetum arvense × palustre;gbif checklists
Equisetum arvense;Equisetum arvense × fluviatile;formula;Equisetum arvense × fluviatile;gbif checklists
Equisetum arvense;Equisetum arvense x fluviatile;formula;Equisetum arvense × fluviatile;gbif checklists
Equisetum fluviatile;Equisetum arvense × fluviatile;formula;Equisetum arvense × fluviatile;gbif checklists
Equisetum fluviatile;Equisetum arvense x fluviatile;formula;Equisetum arvense × fluviatile;gbif checklists
Equisetum hyemale;Equisetum hyemale × variegatum;formula;Equisetum hyemale × variegatum;gbif checklists
Equisetum hyemale;Equisetum hyemale x variegatum;formula;Equisetum hyemale × variegatum;gbif checklists
Equisetum variegatum;Equisetum hyemale × variegatum;formula;Equisetum hyemale × variegatum;gbif checklists
Equisetum variegatum;Equisetum hyemale x variegatum;formula;Equisetum hyemale × variegatum;gbif checklists
Epipactis atrorubens;Epipactis atrorubens × phyllanthes;formula;Epipactis atrorubens × phyllanthes;gbif checklists
Epipactis atrorubens;Epipactis atrorubens x phyllanthes;formula;Epipactis atrorubens × phyllanthes;gbif checklists
Epipactis phyllanthes;Epipactis atrorubens × phyllanthes;formula;Epipactis atrorubens × phyllanthes;gbif checklists
Epipactis phyllanthes;Epipactis atrorubens x phyllanthes;formula;Epipactis atrorubens × phyllanthes;gbif checklists
Vaccinium myrtillus;Vaccinium myrtillus × vitis-idea;formula;Vaccinium myrtillus × vitis-idea;gbif checklists
Vaccinium vitis-idea;Vaccinium myrtillus × vitis-idea;formula;Vaccinium myrtillus × vitis-idea;gbif checklists
Gnaphalium norvegicum;Gnaphalium norvegicum × sylvaticum;formula;Gnaphalium norvegicum × sylvaticum;gbif checklists
Gnaphalium norvegicum;Gnaphalium norvegicum x sylvaticum;formula;Gnaphalium norvegicum × sylvaticum;gbif checklists
Gnaphalium sylvaticum;Gnaphalium norvegicum × sylvaticum;formula;Gnaphalium norvegicum × sylvaticum;gbif checklists
Gnaphalium sylvaticum;Gnaphalium norvegicum x sylvaticum;formula;Gnaphalium norvegicum × sylvaticum;gbif checklists
Rumex aquaticus;Rumex aquaticus × hydrolapathum;formula;Rumex aquaticus × hydrolapathum;gbif checklists
Rumex aquaticus;Rumex aquaticus x hydrolapathum;formula;Rumex aquaticus × hydrolapathum;gbif checklists
Rumex hydrolapathum;Rumex aquaticus × hydrolapathum;formula;Rumex aquaticus × hydrolapathum;gbif checklists
Rumex hydrolapathum;Rumex aquaticus x hydrolapathum;formula;Rumex aquaticus × hydrolapathum;gbif checklists
Centaurea nigra;Centaurea nigra × phrygia subsp. phrygia;formula;Centaurea nigra × phrygia subsp. phrygia;gbif checklists
Centaurea nigra;Centaurea nigra x phrygia subsp. phrygia;formula;Centaurea nigra × phrygia subsp. phrygia;gbif checklists
Centaurea nigra;Centaurea nigra x phrygia ssp. phrygia;formula;Centaurea nigra × phrygia subsp. phrygia;gbif checklists
Centaurea nigra;Centaurea nigra × phrygia ssp. phrygia;formula;Centaurea nigra × phrygia subsp. phrygia;gbif checklists
Centaurea phrygia subsp. phrygia;Centaurea nigra × phrygia subsp. phrygia;formula;Centaurea nigra × phrygia subsp. phrygia;gbif checklists
Centaurea phrygia subsp. phrygia;Centaurea nigra x phrygia subsp. phrygia;formula;Centaurea nigra × phrygia subsp. phrygia;gbif checklists
Centaurea phrygia subsp. phrygia;Centaurea nigra x phrygia ssp. phrygia;formula;Centaurea nigra × phrygia subsp. phrygia;gbif checklists
